GEO.id,GEO.id2,GEO.display-label,D001,D002,D003,D004,D005,D006,D007,D008,D009,D010,D011,D012,D013,D014,D015,D016,D017,D018,D019,D020,D021,D022,D023,D024,D025,D026,D027,D028,D029,D030,D031,D032,D033,D034,D035,D036,D037,D038,D039,D040,D041,D042,D043,D044,D045,D046,D047,D048,D049
Id,Id2,Geography,Total:,Male:,Male: - Under 5 years,Male: - 5 to 9 years,Male: - 10 to 14 years,Male: - 15 to 17 years,Male: - 18 and 19 years,Male: - 20 years,Male: - 21 years,Male: - 22 to 24 years,Male: - 25 to 29 years,Male: - 30 to 34 years,Male: - 35 to 39 years,Male: - 40 to 44 years,Male: - 45 to 49 years,Male: - 50 to 54 years,Male: - 55 to 59 years,Male: - 60 and 61 years,Male: - 62 to 64 years,Male: - 65 and 66 years,Male: - 67 to 69 years,Male: - 70 to 74 years,Male: - 75 to 79 years,Male: - 80 to 84 years,Male: - 85 years and over,Female:,Female: - Under 5 years,Female: - 5 to 9 years,Female: - 10 to 14 years,Female: - 15 to 17 years,Female: - 18 and 19 years,Female: - 20 years,Female: - 21 years,Female: - 22 to 24 years,Female: - 25 to 29 years,Female: - 30 to 34 years,Female: - 35 to 39 years,Female: - 40 to 44 years,Female: - 45 to 49 years,Female: - 50 to 54 years,Female: - 55 to 59 years,Female: - 60 and 61 years,Female: - 62 to 64 years,Female: - 65 and 66 years,Female: - 67 to 69 years,Female: - 70 to 74 years,Female: - 75 to 79 years,Female: - 80 to 84 years,Female: - 85 years and over
1500000US040130405182,040130405182,"Block Group 2, Census Tract 405.18, Maricopa County, Arizona",1866,943,57,73,88,55,17,10,5,19,43,48,91,75,75,74,75,19,41,16,19,23,11,7,2,923,64,64,71,49,17,7,8,16,42,49,71,79,81,65,84,32,31,19,18,17,12,11,16
1500000US040130405183,040130405183,"Block Group 3, Census Tract 405.18, Maricopa County, Arizona",1056,521,77,58,40,7,5,3,6,23,73,55,40,25,28,15,20,8,8,6,14,4,5,0,1,535,76,37,33,9,6,5,4,28,74,56,44,36,28,17,28,6,9,8,13,7,4,4,3
1500000US040130405184,040130405184,"Block Group 4, Census Tract 405.18, Maricopa County, Arizona",1126,555,64,60,62,24,10,3,3,15,56,55,46,41,31,23,21,5,14,5,9,1,4,1,2,571,54,48,55,29,14,3,6,16,61,61,52,34,30,34,21,9,16,9,5,6,2,1,5
1500000US040130405185,040130405185,"Block Group 5, Census Tract 405.18, Maricopa County, Arizona",864,449,32,37,35,20,11,3,5,7,31,22,37,40,35,37,32,9,18,6,12,9,6,3,2,415,33,28,33,14,10,3,6,12,19,20,42,30,37,32,32,12,11,6,14,9,3,6,3
1500000US040130405191,040130405191,"Block Group 1, Census Tract 405.19, Maricopa County, Arizona",1785,861,72,67,47,21,6,4,1,10,32,59,80,44,40,39,79,32,83,37,43,40,14,8,3,924,83,68,44,22,9,3,5,12,41,68,76,45,43,57,100,48,70,33,45,24,9,13,6
1500000US040130405192,040130405192,"Block Group 2, Census Tract 405.19, Maricopa County, Arizona",751,355,0,1,0,2,0,0,0,3,3,4,7,2,5,14,36,38,70,41,51,46,21,8,3,396,1,0,2,0,1,0,1,1,6,4,2,3,11,37,77,39,78,30,38,42,11,5,7
1500000US040130405193,040130405193,"Block Group 3, Census Tract 405.19, Maricopa County, Arizona",1059,507,0,0,1,1,0,2,0,2,6,7,5,8,7,16,53,47,98,56,75,70,31,17,5,552,3,1,0,2,0,0,0,6,4,4,3,3,12,28,98,72,92,51,73,62,17,12,9
1500000US040130405201,040130405201,"Block Group 1, Census Tract 405.20, Maricopa County, Arizona",2537,1279,128,178,132,63,17,6,5,22,63,116,160,120,89,64,51,14,27,2,10,5,3,0,4,1258,122,164,129,43,12,10,4,31,87,123,170,114,68,52,59,15,10,13,10,12,5,3,2
1500000US040130405202,040130405202,"Block Group 2, Census Tract 405.20, Maricopa County, Arizona",1605,792,78,98,81,37,17,5,4,12,43,62,88,77,54,45,35,13,13,8,10,6,4,2,0,813,66,114,87,39,8,4,5,17,36,81,84,71,61,44,30,14,15,7,12,13,3,1,1
1500000US040130405211,040130405211,"Block Group 1, Census Tract 405.21, Maricopa County, Arizona",4560,2310,257,222,224,108,50,19,24,87,257,277,221,169,110,68,54,29,27,14,29,37,13,8,6,2250,269,205,197,88,47,17,18,125,277,242,195,163,100,78,68,27,38,23,14,24,18,10,7
