GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - No schooling completed,Margin of Error; Total: - No schooling completed,Estimate; Total: - Nursery school,Margin of Error; Total: - Nursery school,Estimate; Total: - Kindergarten,Margin of Error; Total: - Kindergarten,Estimate; Total: - 1st grade,Margin of Error; Total: - 1st grade,Estimate; Total: - 2nd grade,Margin of Error; Total: - 2nd grade,Estimate; Total: - 3rd grade,Margin of Error; Total: - 3rd grade,Estimate; Total: - 4th grade,Margin of Error; Total: - 4th grade,Estimate; Total: - 5th grade,Margin of Error; Total: - 5th grade,Estimate; Total: - 6th grade,Margin of Error; Total: - 6th grade,Estimate; Total: - 7th grade,Margin of Error; Total: - 7th grade,Estimate; Total: - 8th grade,Margin of Error; Total: - 8th grade,Estimate; Total: - 9th grade,Margin of Error; Total: - 9th grade,Estimate; Total: - 10th grade,Margin of Error; Total: - 10th grade,Estimate; Total: - 11th grade,Margin of Error; Total: - 11th grade,"Estimate; Total: - 12th grade, no diploma","Margin of Error; Total: - 12th grade, no diploma",Estimate; Total: - Regular high school diploma,Margin of Error; Total: - Regular high school diploma,Estimate; Total: - GED or alternative credential,Margin of Error; Total: - GED or alternative credential,"Estimate; Total: - Some college, less than 1 year","Margin of Error; Total: - Some college, less than 1 year","Estimate; Total: - Some college, 1 or more years, no degree","Margin of Error; Total: - Some college, 1 or more years, no degree",Estimate; Total: - Associate's degree,Margin of Error; Total: - Associate's degree,Estimate; Total: - Bachelor's degree,Margin of Error; Total: - Bachelor's degree,Estimate; Total: - Master's degree,Margin of Error; Total: - Master's degree,Estimate; Total: - Professional school degree,Margin of Error; Total: - Professional school degree,Estimate; Total: - Doctorate degree,Margin of Error; Total: - Doctorate degree
1500000US040137233083,040137233083,"Block Group 3, Census Tract 7233.08, Maricopa County, Arizona",2048,396,0,13,0,13,0,13,0,13,0,13,0,13,0,13,11,21,0,13,0,13,0,13,0,13,64,81,10,18,18,30,522,161,16,25,189,92,234,124,181,88,546,210,182,104,57,52,18,33
1500000US040138100001,040138100001,"Block Group 1, Census Tract 8100, Maricopa County, Arizona",1241,82,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,13,18,0,13,10,9,189,70,41,31,41,28,173,65,109,45,460,86,136,42,29,22,40,29
1500000US040138101001,040138101001,"Block Group 1, Census Tract 8101, Maricopa County, Arizona",1273,244,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,53,80,0,13,0,13,0,13,0,13,0,13,88,47,0,13,13,19,202,120,115,77,369,134,220,89,96,72,117,86
1500000US040138101002,040138101002,"Block Group 2, Census Tract 8101, Maricopa County, Arizona",1251,198,2,4,0,13,0,13,0,13,0,13,0,13,0,13,0,13,1,2,0,13,0,13,0,13,14,22,19,29,33,37,103,63,38,46,44,43,249,104,74,57,397,159,173,89,90,97,14,23
1500000US040138101003,040138101003,"Block Group 3, Census Tract 8101, Maricopa County, Arizona",871,168,17,29,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,15,24,0,13,54,35,16,21,50,58,73,62,89,62,221,95,249,97,57,47,30,35
1500000US040138101004,040138101004,"Block Group 4, Census Tract 8101, Maricopa County, Arizona",1107,202,19,31,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,15,24,31,36,137,82,16,26,34,36,125,73,15,24,354,131,291,143,28,32,42,30
1500000US040138102001,040138102001,"Block Group 1, Census Tract 8102, Maricopa County, Arizona",1561,203,0,13,0,13,0,13,0,13,0,13,0,13,8,18,0,13,7,11,0,13,0,13,0,13,15,25,14,24,0,13,114,57,28,35,118,70,348,107,158,80,433,128,248,86,21,23,49,36
1500000US040138102002,040138102002,"Block Group 2, Census Tract 8102, Maricopa County, Arizona",640,122,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,10,16,0,13,25,26,0,13,0,13,97,50,0,13,9,14,88,54,55,31,197,69,131,70,0,13,28,43
1500000US040138103001,040138103001,"Block Group 1, Census Tract 8103, Maricopa County, Arizona",1163,230,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,13,21,0,13,110,60,19,26,23,38,220,98,128,76,332,134,256,116,37,28,25,29
1500000US040138103002,040138103002,"Block Group 2, Census Tract 8103, Maricopa County, Arizona",683,179,0,13,0,13,0,13,6,14,0,13,0,13,0,13,0,13,0,13,0,13,0,13,19,31,1,2,0,13,18,31,80,67,16,25,29,33,98,83,26,29,250,144,140,104,0,13,0,13
1500000US040138103003,040138103003,"Block Group 3, Census Tract 8103, Maricopa County, Arizona",1865,321,31,34,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,1,3,0,13,0,13,16,27,40,44,421,160,47,49,120,90,288,152,304,202,334,115,206,101,57,67,0,13
1500000US040138104001,040138104001,"Block Group 1, Census Tract 8104, Maricopa County, Arizona",529,119,2,4,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,81,45,0,13,47,34,56,52,44,38,156,58,134,63,9,15,0,13
1500000US040138104002,040138104002,"Block Group 2, Census Tract 8104, Maricopa County, Arizona",289,84,13,23,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,37,41,0,13,14,22,34,27,36,41,79,48,76,65,0,13,0,13
1500000US040138104003,040138104003,"Block Group 3, Census Tract 8104, Maricopa County, Arizona",552,141,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,66,62,18,20,17,20,59,43,81,70,140,61,142,95,9,14,20,24
1500000US040138104004,040138104004,"Block Group 4, Census Tract 8104, Maricopa County, Arizona",1773,211,6,8,0,13,7,11,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,6,20,7,13,221,107,75,50,180,84,350,143,144,70,526,126,151,72,60,61,40,41
1500000US040138105001,040138105001,"Block Group 1, Census Tract 8105, Maricopa County, Arizona",998,173,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,31,34,0,13,0,13,0,13,0,13,175,120,20,24,0,13,13,21,54,44,285,99,313,132,60,46,47,45
1500000US040138105002,040138105002,"Block Group 2, Census Tract 8105, Maricopa County, Arizona",1122,357,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,22,37,54,46,82,95,114,103,336,169,29,32,304,199,136,106,33,43,12,20
1500000US040138105003,040138105003,"Block Group 3, Census Tract 8105, Maricopa County, Arizona",1242,167,0,13,0,13,0,13,0,13,0,13,0,13,0,13,12,20,0,13,0,13,32,35,0,13,19,31,1,3,0,13,112,73,0,13,30,26,205,113,192,96,480,137,98,59,61,63,0,13
1500000US040138106001,040138106001,"Block Group 1, Census Tract 8106, Maricopa County, Arizona",1263,329,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,12,19,25,38,0,13,205,124,49,76,48,48,303,165,231,139,333,164,57,49,0,13,0,13
